name,price,composition,gender,category,description,img_url,url,scrapped-at
Macaquinho Bebe Tinga,"R$ 189,00",100% Algodão Forro 100% Algodão,Bebês,Meninos,"Macaquinho desenvolvido em tecido 100% algodão com forro para bebês, com alças reguláveis por abotoamento, botões no entrepernas , e os desenhos de peixinhos da estampa Tinga.",https://lojafabula.vteximg.com.br/arquivos/ids/566955-799-1000/510725_17287_1-MACAQUINHO-BEBE-TINGA.jpg?v=637795215171700000,https://www.afabula.com.br/macaquinho-bebe-tinga-est-tinga-fundo-amarelo-caju---5-10725-17287/p,11-04-2022
,"R$ 129,00",,Bebês,Macacão,,,https://www.afabula.com.br/kit-body-e-babador-bebe-malha-bananica-est-bananica-fundo-off---5-11107-17054/p,11-04-2022
Camiseta Bebe Malha Listrada Ml,"R$ 98,00",Indefinida,Bebês,Meninos,"Camiseta listrada desenvolvida em malha de algodão para bebês, com vivo canelado e colorido na gola e nos punhos, mangas longas, e abotoamento no ombro .",,https://www.afabula.com.br/camiseta-bebe-malha-listrada-ml-off-white-5-11191-0024/p,11-04-2022
,"R$ 98,00",,Bebês,Macacão,"Camiseta de malha de algodão para bebês, com mangas curtas, recorte nos ombros, e estampa de dinossauros.",,https://www.afabula.com.br/body-bebe-malha-brabinha-est-brabinha-fundo-amarelo-caju-5-10811-17064/p,11-04-2022
,"R$ 198,00",,Bebês,Meninos,"Macacão de malha para bebês com mangas longas, abotoamento no ombro e no entrepernas garantindo o conforto da troca de roupa, pespontos coloridos nos punhos, e os desenhos coloridos do silk Igarapé.",,https://www.afabula.com.br/macacao-bebe-malha-silk-igarape-azul-yara-5-11279-02302/p,11-04-2022
Macaquinho Bebe Malha Igarape Colorido,"R$ 149,00",,Bebês,Meninos,"Macaquinho desenvolvido em malha de algodão para bebês, com alças reguláveis por abotoamento, bolso frontal, botões no entrepernas , e os desenhos da estampa Igarapé.",,https://www.afabula.com.br/macaquinho-bebe-malha-igarape-colorido-est-igarape-colorido-fundo-azul-yara---5-11274-17118/p,11-04-2022
,"R$ 159,00",,Bebês,Meninos,,,https://www.afabula.com.br/jardineira-bebe-malha-brincante-est-brincante-fundo-off-5-11245-17111/p,11-04-2022
Camiseta Bebe Malha Morraria,"R$ 89,00",100% Algodão,Bebês,Meninos,"Camiseta para bebês desenvolvida em malha de algodão, com abotoamento no ombro , mangas curtas, e os desenhos da estampa Morraria.",https://lojafabula.vteximg.com.br/arquivos/ids/570835-799-1000/511194_17121_1-CAMISETA-BEBE-MALHA-MORRARIA.jpg?v=637795242976130000,https://www.afabula.com.br/camiseta-bebe-malha-morraria-est-morraria-fundo-off---5-11194-17121/p,11-04-2022
Calca Bebe Moletom Fui Lagarta,"R$ 149,00","83,5% Algodão 16,5% Poliéster",Bebês,Calça,"Moda é pra brincar! Meia calça com os poás coloridos da estampa Pompom, para misturar com suas roupas favoritas.",https://lojafabula.vteximg.com.br/arquivos/ids/568619-799-1000/510813_17074_1-CALCA-BEBE-MOLETOM-FUI-LAGARTA.jpg?v=637795226401870000,https://www.afabula.com.br/calca-bebe-moletom-fui-lagarta-est-fui-lagarta-fundo-colorido-5-10813-17074/p,11-04-2022
Legging Bebe Malha Brabinha,"R$ 79,00",100% Algodão,Bebês,Calça,,https://lojafabula.vteximg.com.br/arquivos/ids/569950-799-1000/511124_17064_1-LEGGING-BEBE-MALHA-BRABINHA.jpg?v=637795231604970000,https://www.afabula.com.br/legging-bebe-malha-brabinha-est-brabinha-fundo-amarelo-caju---5-11124-17064/p,11-04-2022
Vestido Bebe Malha Bichinho,"R$ 129,00",100% Algodão,Bebês,Vestido,"Vestido infantil desenvolvido em malha de algodão, com babado nas mangas curtas, saia rodada, abotoamento frontal , e os desenhos coloridos da estampa Bichinho.",https://lojafabula.vteximg.com.br/arquivos/ids/568977-799-1000/510979_17059_1-VESTIDO-BEBE-MALHA-BICHINHO.jpg?v=637795227689230000,https://www.afabula.com.br/vestido-bebe-malha-bichinho-est-bichinho-fundo-laranja-guara---5-10979-17059/p,11-04-2022
,"R$ 89,00",,Bebês,Meninos,"Camiseta de malha listradinha para bebês com mangas curtas, e abotoamento nos ombros .",,https://www.afabula.com.br/camiseta-bebe-malha-listradinha-verde-esperanca-5-09802-02005/p,11-04-2022
,"R$ 98,00",,Bebês,Kit,,,https://www.afabula.com.br/kit-calcinha-bebe-malha-estrelinha-est-estrelinha-lua-fundo-rosa-rita-5-10287-14594/p,11-04-2022
,"R$ 149,00",,Bebês,Macacão,"Body saia para bebês com mangas curtas, saia rodada, recorte nos ombros, botões no entrepernas para facilitar a troca de roupa , e divertido silk frontal.",,https://www.afabula.com.br/body-saia-bebe-silk-flor-oculos-turquesa-barbado-5-09568-02004/p,11-04-2022
,"R$ 179,00",,Bebês,Meninos,"Macaquinho de malha listrada para bebês, com bolso frontal, e botões nas alças e no entrepernas para garantir o conforto da troca de roupa.",,https://www.afabula.com.br/macaquinho-bebe-malha-listra-cinza-off-white-5-09662-0024/p,11-04-2022
,"R$ 79,00",,Bebês,Acessório,,,https://www.afabula.com.br/babador-silk-frutinhas-off-white-5-09608-0024/p,11-04-2022
,"R$ 159,00",,Bebês,Meninos,,,https://www.afabula.com.br/macaquinho-bebe-malha-silk-tudo-azul-azul-aquario-5-11269-02349/p,11-04-2022
,"R$ 119,90",,Bebês,Calçado,"Sandália para bebês da parceria Fábula + Mini Melissa. O calçado de plástico preto transparente vem com solado estampado, fecho regulável/b>, e aplicação de planeta na parte frontal . Para brincar de vestir!",,https://www.afabula.com.br/mini-melissa-possession-fabula-bb-preto-5-11518-0013/p,11-04-2022
,"R$ 98,00",,Bebês,Acessório,,,https://www.afabula.com.br/touca-bebe-malha-brabinha-est-brabinha-fundo-amarelo-caju---5-11158-17064/p,11-04-2022
Kit Calcinha Bebe Malha Pompom,"R$ 129,00",100% Algodão Combinação 100% Algodão,Bebês,Kit,,https://lojafabula.vteximg.com.br/arquivos/ids/567360-799-1000/510896_17062_5-KIT-CALCINHA-BEBE-MALHA-POMPOM.jpg?v=637795216799300000,https://www.afabula.com.br/kit-calcinha-bebe-malha-pompom-est-pompom-fundo-off-5-10896-17062/p,11-04-2022
Macaquinho Bebe Malha Fantasia Brabinha,"R$ 189,00",100% Algodão Forro 96% Algodão 4% Elastano,Bebês,Macacão,"Macaquinho de malha de algodão com forro para bebês. A roupa vem com orelhinhas no capuz , mangas curtas, abotoamento frontal e no entrepernas , e os desenhos da estampa Brabinha.",https://lojafabula.vteximg.com.br/arquivos/ids/568797-799-1000/510901_17064_1-MACAQUINHO-BEBE-MALHA-FANTASIA-BRABINHA.jpg?v=637795227041430000,https://www.afabula.com.br/macaquinho-bebe-malha-fantasia-brabinha-est-brabinha-fundo-amarelo-caju-5-10901-17064/p,11-04-2022
Kit Meias Bebe Jurarazinho,"R$ 69,00",Indefinida,Bebês,Meninos,,https://lojafabula.vteximg.com.br/arquivos/ids/571024-799-1000/511241_0000_1-KIT-MEIAS-BEBE-JURARAZINHO.jpg?v=637795243733930000,https://www.afabula.com.br/kit-meias-bebe-jurarazinho-colorido-5-11241-0000/p,11-04-2022
,"R$ 98,00",,Bebês,Macacão,,,https://www.afabula.com.br/body-bebe-malha-silk-currupaquinho-off-white-5-11080-0024/p,11-04-2022
Sandália Bebê Monstrengo,"R$ 89,40",,Bebês,Meninos,"Sandália para bebês com fecho regulável , palmilha estampada, e desenho na tira da peça, desenvolvida em algodão . Calçado leve e confortável, garantindo o conforto dos pequenos!",,https://www.afabula.com.br/sandalia-bebe-monstrengo-preto-5-06904-0013/p,11-04-2022
Camiseta Bebê Listra Marinho Ml,"R$ 53,40",Indefinida,Bebês,Meninos,"Camiseta listrada para bebês com detalhe de vivo colorido, e botões no ombro para garantir o conforto da troca de roupa.",https://lojafabula.vteximg.com.br/arquivos/ids/280051-799-1000/506926_0024_1-CAMISETA-BEBE-LISTRA-MARINHO-ML.jpg?v=637172260002270000,https://www.afabula.com.br/camiseta-bebe-listra-marinho-ml-off-white-5-06926-0024/p,11-04-2022
Sandalia Bebe Feras Do Mar,"R$ 95,40",Indefinida,Bebês,Calçado,,https://lojafabula.vteximg.com.br/arquivos/ids/500489-799-1000/508349_0013_1-SANDALIA-BEBE-FERAS-DO-MAR.jpg?v=637550807084970000,https://www.afabula.com.br/sandalia-bebe-feras-do-mar-preto-5-08349-0013/p,11-04-2022
Macaquinho Bebe Malha Jurarazinho,"R$ 149,00",100% Algodão,Bebês,Meninos,,https://lojafabula.vteximg.com.br/arquivos/ids/578061-799-1000/511389_17119_1-MACAQUINHO-BEBE-MALHA-JURARAZINHO.jpg?v=637813362890170000,https://www.afabula.com.br/macaquinho-bebe-malha-jurarazinho-est-jurarazinho-fundo-preto-5-11389-17119/p,11-04-2022
Moletom Bb Listrado,"R$ 83,40",.,Bebês,Casaco,"Casaco moletom bebê listrado com bolso na frente, capuz e abertura na frente com zíper. 100% algodão",https://lojafabula.vteximg.com.br/arquivos/ids/233337-799-1000/505154_0013_1-MOLETOM-BB-LISTRADO.jpg?v=636906856254070000,https://www.afabula.com.br/moletom-bb-listrado-preto-5-05154-0013/p,11-04-2022
Kit Meia Bebe Sol e Chuva,"R$ 41,40",Indefinida,Bebês,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/503499-799-1000/509259_0027_1-KIT-MEIA-BEBE-SOL-E-CHUVA.jpg?v=637551117901500000,https://www.afabula.com.br/kit-meia-bebe-sol-e-chuva-colorido-5-09259-0027/p,11-04-2022
Short Sarja Risquinhos Rosa,"R$ 189,00",98% Algodão 2% Elastano,Meninas,Saia / Short,"Short infantil de sarja colorida estampada com risquinhos, com mistura de elastano priorizando o conforto, bolsos, barra fraldada, passadores e abotoamento no cós.",https://lojafabula.vteximg.com.br/arquivos/ids/518657-799-1000/509783_14140_1-SHORT-SARJA-RISQUINHOS-ROSA.jpg?v=637582708022770000,https://www.afabula.com.br/short-sarja-risquinhos-rosa-est-risquinhos-fundo-rosa-sonho-5-09783-14140/p,11-04-2022
Short Sarja Color,"R$ 179,00",Indefinida,Meninas,Saia / Short,"Short infantil de sarja colorida, com bolsos, barra fraldada, elástico , passadores e abotoamento no cós.",https://lojafabula.vteximg.com.br/arquivos/ids/518774-799-1000/509784_02000_1-SHORT-SARJA-COLOR.jpg?v=637582709034600000,https://www.afabula.com.br/short-sarja-color-rosa-sonho-5-09784-02000/p,11-04-2022
Short Sarja Color,"R$ 179,00",Indefinida,Meninas,Saia / Short,"Short infantil de sarja colorida, com bolsos, barra fraldada, elástico , passadores e abotoamento no cós.",https://lojafabula.vteximg.com.br/arquivos/ids/560815-799-1000/509784_02004_1-SHORT-SARJA-COLOR.jpg?v=637735437070470000,https://www.afabula.com.br/short-sarja-color-turquesa-barbado-5-09784-02004/p,11-04-2022
Calça Bebe Malha Currupaquinho,"R$ 149,00",,Bebês,Calça,,,https://www.afabula.com.br/calca-bebe-malha-currupaquinho-est-currupaquinho-fundo-off---5-10815-17068/p,11-04-2022
Jardineira Bebe Fitta,"R$ 198,00",100% Algodão,Bebês,Macacão,"Jardineira para bebês desenvolvida em tecido 100% algodão , com babado nas alças, regulagem por abotoamento + acabamento elástico nas costas, botões no entrepernas garantindo o conforto da troca de roupa, plissado com pala na cintura, e os desenhos coloridos da estampa Fitta. Essa é uma peça da parceria Fábula + Alberto Pitta.",https://lojafabula.vteximg.com.br/arquivos/ids/575218-799-1000/511425_17530_1-JARDINEIRA-BEBE-FITTA.jpg?v=637798671516800000,https://www.afabula.com.br/jardineira-bebe-fitta-est-fitta-fundo-azul-aquario---5-11425-17530/p,11-04-2022
Calça Martim,"R$ 131,40",,Meninos,Calça,"Calça infantil de sarja colorida com bolsos, e cós com botão + passadores. Desenvolvida em algodão, a roupa traz leveza e conforto para o dia a dia dos pequenos!",,https://www.afabula.com.br/calca-martim-verde-tijuca-5-06938-8005/p,11-04-2022
Bata Bebe Tinga Ml,"R$ 179,00",100% Algodão,Bebês,Meninos,"Camisa para bebês desenvolvida em tecido 100% algodão com mangas curtas, golinha, abotoamento e bolso frontal , pala nas costas, e os desenhos coloridos da estampa Mateiro.",https://lojafabula.vteximg.com.br/arquivos/ids/568498-799-1000/510796_17287_1-BATA-BEBE-TINGA-ML.jpg?v=637795225985770000,https://www.afabula.com.br/bata-bebe-tinga-ml-est-tinga-fundo-amarelo-caju---5-10796-17287/p,11-04-2022
Calça Martim,"R$ 131,40",100% Algodão,Meninos,Calça,"Calça infantil de sarja colorida com bolsos, e cós com botão + passadores. Desenvolvida em algodão, a roupa traz leveza e conforto para o dia a dia dos pequenos!",https://lojafabula.vteximg.com.br/arquivos/ids/294297-799-1000/506938_8007_1-CALCA-MARTIM.jpg?v=637214486613770000,https://www.afabula.com.br/calca-martim-cinza-cimento-5-06938-8007/p,11-04-2022
Mala Dino,"R$ 161,40",Indefinida,Meninos,Acessório,Mala infantil superdivertida em formato de Dinossauro. Acessório com fecho por zíper e alça regulável .,,https://www.afabula.com.br/mala-dino-colorido-5-07148-0000/p,11-04-2022
