name,price,composition,age,category,gender,description,url,scrapped-at
Casaco Infantil Menina Estampa Dino Color – Tam.1 a 10 anos,"109,95",CASACO EM MOLETINHO 98% ALGODÃO E 2% POLIÉSTER,Criança - 1 a 10 Anos,"L, Regata e Bata",Meninas,"""Blusa de manga longa, confeccionado em malha. Ideal para looks de inverno super estilosos! A Blusa Manga Longa Dino Color é confeccionado em malha, 100% algodão, confortável e quentinho. A peça possui uma linda estampa de dinossauros coloridos e mangas roxas. A blusa é super charmosa e fica lindo com calças e leggins em dias mais frios.""",https://www.alphabeto.com/blusa-m-l-dino-color-55675/p,11-04-2022
Casaco Infantil Menina Borboletinha – Tam. 1 a 10 anos – Preto,"229,95",CASACO EM TECIDO 100% POLIÉSTER,Criança - 1 a 10 Anos,"Casacos, Jaquetas, Blazers, Capas, Kimonos, Casaquetos e Coletes",Meninas,"""Casaco cinza / preto, confeccionado em tecido sintético. Ideal para dias de chuva! O Casaco Borboletinha é confeccionado em tecido 100% poliéster, com acabamento impermeável, ideal para dias frios e chuvosos. A peça é confortável, bem fofinha e quentinha para agasalhar as pequenas, possui elástico regulável nas barras para um melhor ajuste no corpo das pequenas. Além disso, o casaco possui zíper rosa e um lindo detalhe de borboleta emborrachado. O casaco está disponível nas cores: cinza e preto.""",https://www.alphabeto.com/casaco-avulso-55837/p,11-04-2022
Blusa Infantil Menina Bosque Alegre – Tam.10 a 16 anos – Rosa,"89,95",BLUSA EM MALHA 95% ALGODÃO E 5% POLIÉSTER,Miniteen - 10 a 14 Anos,"L, Regatas e Batas",Meninas,"""Blusa rosa com manga curta, confeccionada em malha. Perfeita para o dia a dia das meninas! A Blusa Bosque Alegre é super estilosa e promete encantar as meninas! Confeccionada em malha rosa, a peça possui detalhe bordado, super colorido. Além disso a blusinha conta com manguinhas curtas e é super fresquinha!""",https://www.alphabeto.com/blusa-m-c-bosque-alegre-55532/p,11-04-2022
Body Infantil Menina Borboleta – Tam.0 a 3 meses – Branco,"59,95",BODY DE MANGA LONGA EM MALHA 100% ALGODÃO,Bebês - 0 a 12 Meses,Bodies,Meninas,"""Body de manga comprida branco, para recém nascidos. Confeccionado em meia malha 100% algodão, ideal para compor looks com shortinhos, calças e saias. Os Bodies são peças fundamentais no guarda-roupa dos pequenos. Lisos ou estampados, são perfeitos para combinar com outras peças de roupa, e super versáteis durante todas as estações do ano. E o Body Manga Longa Borboletinha é confeccionado em malha branca 100% algodão, super confortável e macio ao toque dos bebês. A peça possui detalhe metálico de coração no busto e pompons rosa no decote. O que garante a proteção e aconchego das princesinhas durante os dias mais frios.""",https://www.alphabeto.com/body-m-l-borboletinha-55718/p,11-04-2022
Casaco Infantil Menina Estampa Minha Casinha– Tam. 3 a 12 meses,"129,95",CASACO EM PLUSH 100% POLIÉSTER,Bebês - 0 a 12 Meses,"Casacos, Casaquetos e Jaquetas",Meninas,"Casaco infantil estampa “Minha Casinha” para bebês meninas de 3 a 12 meses, confeccionado em Plush 100% poliéster. Colorido e despojado, o casaco infantil “Minha Casinha” possui zíper frontal e detalhe de laço nos ombrinhos. Além disso, é quentinho, confortável e acrescenta muita fofura aos looks, sendo o complemento perfeito para o visual das princesinhas. Sua confecção em plush garante que as pequenas fiquem aquecidas e estilosas em um único look. Opção perfeita para os dias mais frios!",https://www.alphabeto.com/casaco-minha-casinha-55522/p,11-04-2022
Conjunto Infantil Menina Pense Positivo - Tam. 10 a 16 anos - Cinza,"139,95","VESTIDO CANELADO 63% POLIÉSTER, 33% VISCOSE E 4% ELASTANO E BLUSA EM COTTON 96% POLIÉSTER E 4% ELASTANO",Miniteen - 10 a 14 Anos,Conjuntos e Kits,Meninas,"Conjunto infantil de vestido e blusa estampada ""Pense Positivo"" para meninas de 10 a 16 anos, confeccionado em poliéster e cotton. A peça é ideal para passeios com a família e amigos! O Conjunto infantil ""Pense Positivo"" é composto por um vestido infantil canelado cinza, com estampa localizada no busto e uma linda blusinha de cotton estampada colorida, com manguinha de tela, super estilosa. O Conjunto infantil é uma graça, além das peças poderem ser usadas separadamente.",https://www.alphabeto.com/conjunto-pense-positivo-55324/p,11-04-2022
Short Infantil Colorido Menina Pense Positivo - Tam. 10 a 16 anos - Tie Dye,"139,95",SHORT EM PLUSH 100% POLIÉSTER,Miniteen - 10 a 14 Anos,"Shorts, Saias, Shorts-Saias e Bermudas",Meninas,"Short infantil estampado colorido ""Pense Positivo"" para meninas de 10 a 16 anos , confeccionado em plush, ideal para o inverno! O Short infantil Pense Positivo é a peça ideal para o dia a ida das meninas. A peça é confeccionada em plush, 100% poliéster, com estampa colorida, super quentinho e confortável. Além disso, o short infantil possui detalhe de listras na lateral e cós de elástico. O shortinho fica lindo com casaquinhos e blusas.",https://www.alphabeto.com/short-pense-positivo-55326/p,11-04-2022
Blusa M/c Jardim de Borboletas,"89,95",BLUSA EM MALHA 50% ALGODÃO E 50% POLIÉSTER,Miniteen - 10 a 14 Anos,"L, Regatas e Batas",Meninas,"""Blusa cinza mescla, de manga curta. Confeccionada em malha, perfeita para o dia a dia das meninas! A Blusa Jardim de Borboletas é super estilosa e promete encantar as meninas! Confeccionada em malha cinza mescla, a peça tem estampa bordada charmosa, com detalhe em alto relevo. Além disso a blusinha possui manguinhas curtas e recorte transpassado nas costas, super estiloso!""",https://www.alphabeto.com/blusa-m-c-jardim-de-borboletas-55318/p,11-04-2022
Conjunto Joaninha,"41,97",M G EX REGATA E SHORT EM POPELINE 100% ALGODÃO,Meninas,Meninas,OFF,"O Conjunto Joaninha chegou voando e encantando a todos por onde passa! Composto por um shortinho estampado de popeline com elástico na cintura e nas perninhas, super confortável para as pequenas, e uma regatinha de tecido 100% algodão com estampa localizada de joaninha no centro da peça, muito fofa!",https://www.alphabeto.com/conjunto-joaninha-54473/p,11-04-2022
,,,,,,,https://www.alphabeto.com/almofada-castelo-de-boneca-55436/p,11-04-2022
