name,price,composition,category,gender,description,img_url,url,scrapped-at
BERMUDA JEANS FEMININA AMACIADA PLUS SIZE,175.90,"1,6% elastano 18% poliester 80,4% algodão",BERMUDA,FEMININO,Bermuda Jeans  Cintura Alta  Amaciada  Barra dobrada  Fechamento com botão e zíper Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/bermuda_jeans_feminina_amaciada_96060499_1_6802aa66213db7d2c40693e827ba7a94.jpg,https://www.daksuljeans.com.br/feminino/plus-size/bermuda-jeans-feminina-amaciada,11-04-2022
BLUSA DE LÃ FEMININA FENDA LATERAL,206.90,,BLUSA,FEMININO,Blusa de lã feminina Fenda lateral Capuz com fechamento em cordão,https://images.tcdn.com.br/img/img_prod/1052366/blusa_de_la_feminina_fenda_lateral_96059626_1_4182d6d2a8039aedeee2bb514a14a965.jpg,https://www.daksuljeans.com.br/feminino/tricot/blusa-de-la-feminina-fenda-lateral,11-04-2022
BLUSA DE LÃ FEMININA DECOTE CANOA,219.90,,BLUSA,FEMININO,Blusa de lã feminina Decote canoabr Detalhes em listrabr,https://images.tcdn.com.br/img/img_prod/1052366/blusa_de_la_feminina_decote_canoa_96059710_1_23fbb238d8e77a7e7ff08233c483b8f7.jpg,https://www.daksuljeans.com.br/feminino/tricot/blusa-de-la-feminina-decote-canoa-nbsp,11-04-2022
BLUSA DE LÃ FEMININA COM CAPUZ,219.90,,BLUSA,FEMININO,"Blusa de lã feminina Blusa com tecido mais fino, ótima opção Possui capuz e barra canelada",https://images.tcdn.com.br/img/img_prod/1052366/blusa_de_la_feminina_com_capuz_96059980_1_85319e046962eb6421399a2758cdb000.jpg,https://www.daksuljeans.com.br/feminino/tricot/blusa-de-la-feminina-com-capuz,11-04-2022
BLUSA DE LÃ FEMININA CANELADO,276.90,,BLUSA,FEMININO,Blusa de lã feminina Tricot ponto canelado mais amplo deixando a blusa com tecido mais grosso,https://images.tcdn.com.br/img/img_prod/1052366/blusa_de_la_feminina_canelado_96059894_1_517df01261917e8ff1432323e9e136a5.jpg,https://www.daksuljeans.com.br/feminino/tricot/blusa-de-la-feminina-canelado,11-04-2022
BLUSA DE LÃ FEMININA BÁSICA,213.90,,BLUSA,FEMININO,Blusa de lã feminina Gola V,https://images.tcdn.com.br/img/img_prod/1052366/blusa_de_la_feminina_basica_96059795_1_d54c6af20aeb9492fb7e152b75d3f430.jpg,https://www.daksuljeans.com.br/feminino/tricot/blusa-de-la-feminina-basica,11-04-2022
BLUSA DE LÃ FEMININA BÁSICA,193.90,,BLUSA,FEMININO,Blusa de lã feminina Gola V Barra e punhos canelados,https://images.tcdn.com.br/img/img_prod/1052366/blusa_de_la_feminina_basica_96059990_1_be47114b24b0783ea8a1437f1996bfa1.jpg,https://www.daksuljeans.com.br/feminino/tricot/blusa-de-la-feminina-basica-96059990,11-04-2022
CALÇA FEMININA WHIDE LEG FIT COM RASGO NO JOELHO PLUS SIZE,259.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça Wide Leg Fit  Cintura Alta  Rasgo no joelhol  Barra desfiada  Fechamento com botão e zíper Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_whide_leg_fit_com_rasgo_no_joelho_96060595_1_a2e6d98fa72771d879ac70c7be232e3c.jpg,https://www.daksuljeans.com.br/feminino/plus-size/calca-feminina-whide-leg-fit-com-rasgo-no-joelho,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS PLUS SIZE,241.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça Skinny Hot Pants  Cintura Alta  Barra dobrada e desfiada  Fechamento com botão e zíper Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_96061422_1_f83f40a039a5a1653fc6bf168d23a2b2.jpg,https://www.daksuljeans.com.br/cg22016g-calca-feminina-skinny-hot-pants,11-04-2022
CALÇA FEMININA SKINNY ALTA PLUS SIZE,265.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny Detalhes em detonados Barra corte a fio Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_96060927_1_d5a33efaf640aa4d5f5b0a8cf143da0c.jpg,https://www.daksuljeans.com.br/cg22021g-calca-feminina-skinny-alta,11-04-2022
CALÇA FEMININA SKINNY ALTA PLUS SIZE,265.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça Skinny  Cintura Alta  Leves puídos  Cordão no cós  Fechamento com botão e zíper Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_96060964_1_d9c8bac01ce17ad90ee82c9c819759bb.jpg,https://www.daksuljeans.com.br/cg22020g-calca-feminina-skinny-alta,11-04-2022
CALÇA FEMININA MOM PLUS SIZE,259.90,"1,3% elastano 98,7% algodão",CALÇA,FEMININO,Calça Mom  Corte reto  Lavação Vintage  Fechamento com botão e zíper Modelo veste 48,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_mom_96060413_1_f3c9228b3a6c75d3786efaa9f9f5437b.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-mom,11-04-2022
BLUSA DE LÃ FEMININA GOLA ALTA,263.90,,BLUSA,FEMININO,"Blusa de lã feminina Gola alta Ponto canelado mais aberto, lã mais grossa",https://images.tcdn.com.br/img/img_prod/1052366/blusa_de_la_feminina_gola_alta_96059826_1_591489b6aa0c481d7780822a3190df27.jpg,https://www.daksuljeans.com.br/feminino/tricot/blusa-de-la-feminina-gola-alta,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS,241.90,2% elastano 8% poliester 89% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny e hot pants Fechamento com botões recapados Detalhes em detonados Lavação lixada Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_96061092_1_77f512bcfd074358e0ccd088e30b889a.jpg,https://www.daksuljeans.com.br/cg22013-calca-feminina-skinny-hot-pants,11-04-2022
CALÇA FEMININA SKINNY ALTA,254.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny Detalhes em detonados Barra corte a fio Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_96060921_1_b4cb9e3ae7dafbf79868a0bb72f786ed.jpg,https://www.daksuljeans.com.br/cg22021-calca-feminina-skinny-alta,11-04-2022
CALÇA FEMININA CLOCHARD,241.90,12% linho 30% viscose 58% algodão,CALÇA,FEMININO,Calça feminina Modelagem clochard Tecido de linho tingido Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_clochard_96061180_1_854c3c51b6f1eee7b448f48800fbd228.jpg,https://www.daksuljeans.com.br/cf22128-calca-feminina-clochard,11-04-2022
CALÇAFEMININA WHIDE LEG PENSE FRONTAL,204.90,100% algodão,CALÇAFEMININA,FEMININO,Calça feminina Modelagem whide leg Detalhes de pense frontal Lavação delave  Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calcafeminina_whide_leg_pense_frontal_96060791_1_a87d7753b1a98f83b4cffd41c4f199d6.jpg,https://www.daksuljeans.com.br/cf22121-calca-feminina-whide-leg-fit,11-04-2022
CALÇAFEMININA MOM DETALHES EM DETONADOS,263.90,"1,3% elastano 98,7% algodão",CALÇAFEMININA,FEMININO,Calça feminina Modelagem mom Detalhes em detonados Puídos na barra Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calcafeminina_mom_detalhes_em_detonados_96060743_1_a55858ee22e3dabe5cfd04dfb85dd4b4.jpg,https://www.daksuljeans.com.br/cf22115-calca-feminia-mom,11-04-2022
CALÇAFEMININA CARGO JOGGER COM BOLSO LATERAL PLUS SIZE,274.90,"1,3% elastano 98,7% algodão",CALÇAFEMININA,FEMININO,Calça feminina Modelagem mom e jogger Bolso cargo lateral Lavação com leve craquelado Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calcafeminina_cargo_jogger_com_bolso_lateral_plus_size_96060531_1_994c953e796421d0d2d00b9097f091f4.jpg,https://www.daksuljeans.com.br/cf22110g-calca-feminina-cargo-jogger,11-04-2022
CALÇAFEMININA CARGO JOGGER COM BOLSO LATERAL,263.90,"1,3% elastano 98,7% algodão",CALÇAFEMININA,FEMININO,Calça feminina Modelagem mom e jogger  Bolso cargo lateral Lavação com leve craquelado Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calcafeminina_cargo_jogger_com_bolso_lateral_96060526_1_afa37cb542c364222ea761d1b2c3b3e8.jpg,https://www.daksuljeans.com.br/cf22110-calca-feminina-cargo-jogger,11-04-2022
BLUSA DE LÃ MASCULINA MESCLA,153.90,,BLUSA,MASCULINO,Blusa de lã masculina Detalhes de listra no punho,https://images.tcdn.com.br/img/img_prod/1052366/blusa_de_la_masculina_mescla_96059819_1_27f7f6e70c48a0c51187b6216cb888cf.jpg,https://www.daksuljeans.com.br/masculino/tricot/blusa-de-la-masculina-mescla,11-04-2022
