name,price,gender,category,composition,leather,description,img_url,url,scrapped-at
Bolsa Jeans Maxi Ecodamyller - Tam: UC / Cor: MEDIA,499,Unissex,Bolsa,Algodão 100%,,A bolsa maxi da linha ECODAMYLLER é confeccionada em jeans 100% algodão BCI (A certificação BCI A,https://damyller.vteximg.com.br/arquivos/ids/669111-980-1470/Mochila-Jeans-Ecodamyller-Frente--.jpg?v=637810498681430000,https://www.damyller.com.br/bolsa-jeans-maxi-ecodamyller-1n0v221/p,11-04-2022
Calça Skinny Resinada Cintura Altíssima,279,Feminino,Skinny,Algodão 71% Poliéster 26% Elastano 3%. Forro De Bolso: Algodão 67% Poliéster 33%,Resinado,A calça skinny de cintura altíssima é confeccionada em tecido de algodão sustentável BCI (A certificação BCI A,https://damyller.vteximg.com.br/arquivos/ids/597468-980-1470/Calca-Skinny-Resinada-Cintura-Altissima-Frente--.jpg?v=637497614118330000,https://www.damyller.com.br/calca-skinny-resinada-cintura-altissima-0n0rc97/p,11-04-2022
Calça Jeans Mom Cropped G6 Ecodamyller,379,Feminino,,Algodão 100%. Forro De Bolso: Algodão 67% Poliéster 33%.,Jeans,A calça feminina mom G6 cropped faz parte da linha ECODAMYLLER pois é confeccionada em jeans 100% algodão BCI(A certificação BCI A,https://damyller.vteximg.com.br/arquivos/ids/669233-980-1470/CALCA-FEMININA-MOM-G6-CROPPED-Frente--.jpg?v=637811453802070000,https://www.damyller.com.br/calca-jeans-mom-cropped-g6-ecodamyller-1n0ri56/p,11-04-2022
Casaco Alongado Padronagem Gravataria,579,Feminino,Casaco,Poliéster 48% Algodão 45% Elastano 7%. Forro: Poliéster 82% Elastano 18%,Malha,"O casaco feminino de mangas longas é confeccionado em malha encorpada de poliéster, algodão e elastano, de ótima resistência e que proporciona flexibilidade e conforto durante o uso. A padronagem de gravataria clássica é moderna e atemporal, e a modelagem que lembra um blazer deixa os looks arrumadinhos com praticidade. Aposte com a calça da mesma malha, ou com seu jeans preferido para uma opção moderna e super descolada de efeito hi-lo.",https://damyller.vteximg.com.br/arquivos/ids/667110-980-1470/CASACO-FEMININO-Frente--.jpg?v=637802908421830000,https://www.damyller.com.br/casaco-alongado-padronagem-gravataria-1i0my77/p,11-04-2022
Blusa Manga Longa Xadrez Feminina,179,Feminino,Blusas,"Algodão 79%, Poliéster 16%, Elastano 5%",Malha,"A blusa feminina de mangas longas é confeccionada em malha encorpada de algodão, poliéster e elastano, de alta resistência e flexibilidade, e que proporciona muito conforto durante o uso. De modelagem ajustada, ela é ideal para combinar com seus jeans preferidos em um look descomplicado e moderno, já que sua padronagem xadrez é discreta e tem um ar minimalista e urbano. Vale apostar também com a saia da mesma malha em um visual de conjunto.",https://damyller.vteximg.com.br/arquivos/ids/668228-980-1470/BLUSA-FEMININA-Frente--.jpg?v=637807810686400000,https://www.damyller.com.br/blusa-manga-longa-xadrez-feminina-1i0my51/p,11-04-2022
Blusa Manga Longa Canelada Cropped,179,Feminino,,"Viscose 96%, Elastano 4%",Malha,"A blusa feminina de mangas 7/8 é confeccionada em malha canelada de viscose e elastano, de toque macio possui e que proporciona muito conforto por ter ótima elasticidade. Seu diferencial é o detalhe torcido na barra da frente que tira a peça do básico. Combine com jeans de cintura alta e finalize com o calçado de acordo com a ocasião, seja tênis, sandálias ou botas.",https://damyller.vteximg.com.br/arquivos/ids/670587-980-1470/Blusa-Manga-Longa-Canelada-Cropped-Frente--.jpg?v=637819951231000000,https://www.damyller.com.br/blusa-manga-longa-canelada-cropped-1i0ll44/p,11-04-2022
Saia Mini Padronagem Gravataria,159,Feminino,Mini,"Algodão 45%, Poliéster 48%, Elastano 7%",Malha,"A saia mini é confeccionada malha encorpada de poliéster, algodão e elastano, de ótima resistência e que proporciona flexibilidade e conforto durante o uso. A padronagem de gravataria é clássica e por isso faz da saia um item-chave indispensável para o guarda-roupas, por sua atemporalidade. Equilibrar proporções no look faz crescer a combinação e deixa o visual mais cool, por isso, a dica aqui é combinar a saia com blusas mais amplas, como blusões, moletons, camisas ou camisetas de acordo com a temporada. Vale finalizar com sandálias, tênis, botas e coturnos.",https://damyller.vteximg.com.br/arquivos/ids/666865-980-1470/SAIA-MINI-Frente--.jpg?v=637802026332300000,https://www.damyller.com.br/saia-mini-padronagem-gravataria-1v0my73/p,11-04-2022
Calça Pantalona Lisa Cintura Super Alta,299,Feminino,Pantalona,"Poliamida 13%, Viscose 87%",Tecido Plano,"A caça feminina pantalona C2 é confeccionada em crepe de viscose e poliamida, de toque macio e ótimo caimento, e que possui uma textura levemente enrugada de aspecto natural. Modernas, as calças de modelagem ampla conferem conforto para o dia a dia, e em tecidos especiais como o caso do crepe, proporcionam também sofisticação. Essa peça é ideal para diversas ocasiões: combine com o casaqueto de mesmo tecido e sandália para um evento especial, ou com camiseta e tênis para o dia a dia de forma moderna, sem perder a elegância conferida pela calça.",https://damyller.vteximg.com.br/arquivos/ids/667296-980-1470/Calca-Pantalona-Lisa-Cintura-Super-Alta-Frente--.jpg?v=637804407686930000,https://www.damyller.com.br/calca-pantalona-lisa-cintura-super-alta-1n0u583/p,11-04-2022
Calça Jeans Boot Cut Ecodamyller,449,Feminino,Boot Cut,Algodão 98% Elastano 2%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,A calça feminina new boot cut G4C2 faz parte da linha ECODAMYLLER pois é confeccionada em jeans de algodão BCI (A certificação BCI A,https://damyller.vteximg.com.br/arquivos/ids/665610-980-1470/Calca-Jeans-Boot-Cut-Ecodamyller-Frente--.jpg?v=637795718160400000,https://www.damyller.com.br/calca-jeans-boot-cut-ecodamyller-1n0rh55/p,11-04-2022
Calça Pantalona Tecido Plano G5 C1,379,Feminino,Pantalona,"Algodão 64%, Linho 11%, Viscose 25%",Tecido Plano,A calça feminina pantalona é confeccionada em tecido plano de algodão BCI (A certificação BCI A,https://damyller.vteximg.com.br/arquivos/ids/660939-980-1470/Calca-Pantalona-Tecido-Plano-G5-C1-Frente--.jpg?v=637768349300300000,https://www.damyller.com.br/calca-pantalona-tecido-plano-g5-c1-1n0ll00/p,11-04-2022
