name,price,category,composition,color,gender,description,img_url,url,scrapped-at
Tênis Bristol,"R$ 159,95",Tênis,Cabedal: Poliuretano E Suede Sintético / Sola: Eva + Borracha Termoplástica / Forro: Mesh (Nylon) / Palmilha: Camurça Anatômica,Marrom,Masculino,Código: LBF120002 Produto: Tênis Bristol Categoria: Tênis Cor / lavagem: Marrom Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/285774-640-640/LBF1200020002_01.jpg?v=636700381203670000,https://www.levi.com.br/tenis-bristol-lbf1200020002/p,12-04-2022
Camiseta Levi's Red Tab Vintage,"R$ 189,90",Camiseta,100% Algodão,Colorido,Masculino,Código: A06370002 Produto: Camiseta Levi's Red Tab Vintage Categoria: Camisetas Cor / Lavagem: Colorido Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/442047-640-640/A06370002_1.jpg?v=637660448410730000,https://www.levi.com.br/camiseta-levis-red-tab-vintage-a063700020002/p,12-04-2022
Camiseta Levi's Relaxed Fit,"R$ 109,90",Camiseta,100% Algodão,Branco,Masculino,Código: 161432216 Produto: Camiseta Levi's Relaxed Fit Categoria: Camisetas Cor / Lavagem: Branco Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/434523-640-640/LB0012216_1.jpg?v=637650700768730000,https://www.levi.com.br/camiseta-levis-relaxed-fit-lb00122162216/p,12-04-2022
Camisa Levi's Cubano,"R$ 259,90",Camisa,"73% Liocel, 27% Hemp",Amarelo,Masculino,Código: 726250037 Produto: Camisa Levi's Cubano Categoria: Camisas Cor / Lavagem: Amarelo Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/441794-640-640/726250037_1.jpg?v=637660447082300000,https://www.levi.com.br/camisa-levis-cubano-7262500370037/p,12-04-2022
Camisa Levi's Cubano,"R$ 259,90",Camisa,"73% Liocel, 27% Hemp",Verde,Masculino,Código: 726250047 Produto: Camisa Levi's Cubano Categoria: Camisas Cor / Lavagem: Verde Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/441765-640-640/726250047_1.jpg?v=637660446928330000,https://www.levi.com.br/camisa-levis-cubano-7262500470047/p,12-04-2022
Calça Jeans Levi's 505™ Regular,"R$ 319,90",Calça,"99% Algodão, 1% Elastano",Lavagem Clara,Masculino,Código: 005052218 Produto: Calça Jeans Levi's 505™ Regular Categoria: Jeans Cor / Lavagem: Lavagem Clara Modelagem: Reto Altura da Cintura: Intermediária Fecho: Zíper Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/424273-640-640/005052218_1.jpg?v=637642027163300000,https://www.levi.com.br/calca-jeans-levis-505-regular-0050522182218/p,12-04-2022
Camiseta Levis Classic One Pocket,"R$ 83,93",Camiseta,100% Algodão,"Azul, Branco",Masculino,Código: 193420180,https://lojalevis.vteximg.com.br/arquivos/ids/412682-640-640/193420180_1.jpg?v=637503118710500000,https://www.levi.com.br/camiseta-levis-classic-one-pocket-1934201800180/p,12-04-2022
Camiseta Levis Classic One Pocket,"R$ 83,93",Camiseta,100% Algodão,Azul,Masculino,Código: 193420184,https://lojalevis.vteximg.com.br/arquivos/ids/412676-640-640/193420184_1.jpg?v=637503118683000000,https://www.levi.com.br/camiseta-levis-classic-one-pocket-1934201840184/p,12-04-2022
Calça Jeans Levi's 512™ Slim Taper,"R$ 329,90",Calça,"68% Algodão, 31% Liocel, 1% Elastano",Lavagem Média,Masculino,Código: 288330654 Produto: Calça Jeans Levi's 512™ Slim Taper Categoria: Jeans Cor / Lavagem: Lavagem Média Modelagem: Slim Altura da Cintura: Intermediária Fecho: Zíper Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/424180-640-640/288330654_1.jpg?v=637642026393670000,https://www.levi.com.br/calca-jeans-levis-512-slim-taper-2883306540654/p,12-04-2022
Camiseta Levis Relaxed Fit Tee,"R$ 209,90",Camiseta,100% Algodão (Organico),Bege,Masculino,Código: 161430502,https://lojalevis.vteximg.com.br/arquivos/ids/461494-640-640/16143-0502_1.jpg?v=637828061550070000,https://www.levi.com.br/camiseta-levis-relaxed-fit-tee-1614305020502/p,12-04-2022
Camisa Levi's Classic 1 Pocket Standard,"R$ 195,93",Camisa,100% Algodão,Azul,Masculino,"Criada para o trabalhador atual que demanda uma camisa mais formal e clássica para o dia a dia. Um bolso, com abotoamento na lapela da gola. Duplo abotoamento nas mangas.",https://lojalevis.vteximg.com.br/arquivos/ids/419394-640-640/857480057_1.jpg?v=637522943925700000,https://www.levi.com.br/camisa-levis-classic-1-pocket-standard-8574800570057/p,12-04-2022
Camiseta Levis Relaxed Fit Tee,"R$ 169,90",Camiseta,100% Algodão,Branco,Masculino,Código: LB0013012,https://lojalevis.vteximg.com.br/arquivos/ids/468801-640-640/LB001-3012_1.jpg?v=637843604119500000,https://www.levi.com.br/camiseta-levis-relaxed-fit-tee-lb00130123012/p,12-04-2022
Camiseta Levis Crewneck,"R$ 74,95",Camiseta,100% Algodão,Branco,Masculino,Código: LB0012039 Produto: Camiseta Levis Crewneck Categoria: Camisetas Cor / lavagem: Branco Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2020 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/396257-640-640/LB0012039_1.jpg?v=637383139774500000,https://www.levi.com.br/camiseta-levis-crewneck-lb00120392039/p,12-04-2022
Camiseta Levis Relaxed Fit One Pocket,"R$ 125,93",Camiseta,100% Algodão,Roxo,Masculino,Código: 343100018,https://lojalevis.vteximg.com.br/arquivos/ids/412493-640-640/343100018_1.jpg?v=637503117619030000,https://www.levi.com.br/camiseta-levis-relaxed-fit-one-pocket-3431000180018/p,12-04-2022
