name,price,composition,material-sum,age,category,sub_category,description,img_url,url,scrapped-at
Máscara Zero Costura Vírus Bac-Off - Kit com 2 unidades,"26,00",2% elastano 98% poliamida,1.0,Adulto,Acessórios,Máscaras,"A Máscara Zero Costura Vírus Bac Off oferece proteção contra bactérias e vírus, principalmente contra o causador da COVID 19, graças ao agente antiviral e antibacteriano inserido na matriz polimérica do fio. Esta tecnologia oferece proteção, conforto e bem estar, permanecendo por toda vida útil da peça. Feita de 98% de poliamida e 2% de elastano, a máscara deve ser colocada sobre o rosto, cobrindo todo o nariz e a boca. Antes de colocar a máscara, lave bem as mãos com água e sabão. Para retirá la, toque, apenas, na alça e higienize as mãos. A máscara Lupo pode ser lavada com uma solução de água potável e detergente. Deixe de molho por 30 minutos e, depois, realize o enxágue em água corrente. Coloque a máscara para secar à sombra e depois armazene em um lugar limpo. Proteja se e proteja quem você ama Composição: 98% Poliamida 2% Elastano. Higienizada pronta para uso, Inativa Vírus, Dupla Camada Como Colocar a Máscara: A máscara é individual e não deve ser compartilhada com ninguém, nem entre familiares. Antes de colocar a máscara, lave bem as mão com água e sabão, secando as bem, para então colocar a máscara com cuidado, cobrindo a boca e o nariz, e acomodando a com segurança para minimizar os espaços entre o rosto e a máscara. Como retirar a Máscara: Passo 1 Quando for retirar a máscara, antes, lave as mãos com água e sabão, secando as bem, para que então possa retirá la. Passo 2 Remova a máscara pegando pela tira lateral, evitando tocar na parte da frente. Passo 3 Coloque a máscara usada em um saco plástico e reserve, para assim que possível, realizar o procedimento de lavagem. Passo 4 Lave novamente as mãos, com água e sabão por no mínimo 20 segundos. Importante: Trocar a máscara sempre que apresentar sujidade ou umidade. Descartar a máscara sempre que apresentar sinais de deteriorização ou funcionalidade comprometida. O uso contínuo de altas concentrações de cloro durante a lavagem pode alterar a cor do produto, porém, suas funções permanecem inalteradas. A utilização da máscara é apenas mais uma medida de proteção sendo que não devem ser negligenciadas as outras medidas recomendadas elo Ministério da Saúde. Lavagem e higienização da Máscara: Passo 1 Chegando em casa, lave as máscaras usadas com uma solução de água potável e detergente líquido na proporção de 5ml de detergente para 1 litro de água e deixe as do molho por 30 minutos. Após o tempo de imersão, realize o enxague em água corrente. Passo 2 Deixe secar à sombra. Passo 3 Depois de seca, coloque a em um recipiente limpo, para que não haja contaminação até o uso. Lembre se que a máscara deve estar bem seca para sua reutilização. As Máscaras Zero Costura Vírus Bac Off, são básicas e essenciais para o momento que estamos vivendo. Confira também as blusas femininas manga longa e não deixe de visitar as nossas categorias para encontrar produtos acessíveis e diversos modelos de calcinha",https://lupo.vteximg.com.br/arquivos/ids/192600-500-500/36004-9000904-1.jpg?v=637638584514300000,https://www.lupo.com.br/mascara-bacoff-36004-900/p,12-04-2022
Sutiã Loba Basico Sem Costura,"47,90",6% elastano 94% poliamida,1.0,Adulto,Lingerie,Sutiã Básico,"Se você está procurando um sutiã sem costura confortável e elegante, confira as opções de tamanho e cores do Sutiã Loba Básico Sem Costura . Feita de 94% de poliamida e 6% de elastano, a lingerie Lupo diminuiu os pontos de fricção do tecido com a pele. Sua falta de costura torna este sutiã Lupo uma ótima opção para ser usado em exercícios físicos e em atividades que necessitem de muito movimento. Aqui na Lupo você encontra tudo o que precisa em produtos íntimos. Temos ainda diversos outros produtos como nossos modelos de cinta modeladora e pijamas femininos . Navegue por nossas categorias e não perca tempo Composição: 94% Poliamida, 6% Elastano",https://lupo.vteximg.com.br/arquivos/ids/180031-500-500/41100-001-5650.jpg?v=636687411712800000,https://www.lupo.com.br/sutia-loba-af-basico-41100-001/p,12-04-2022
Cueca Lupo Boxer,"36,90",5% elastano 95% algodão,1.0,Adulto,Cuecas,Boxer,"A beleza das cuecas boxer sempre chamou a atenção de todos os homens que procuram por roupas íntimas confortáveis e bonitas para usar no dia a dia. Esse modelo de cueca desenvolvido pela Lupo, por exemplo, atenda as necessidades de qualquer homem que preza pelo conforto e pela simplicidade. Toda confeccionada em algodão, a cueca Lupo possui costuras firmes e tecido macio que não incomoda a pele e protege as partes íntimas masculinas ao longo de todo o dia. Temos as melhores cuecas para seu conforto e praticidade, veja Composição: 95% Algodão, 5% Elastano",https://lupo.vteximg.com.br/arquivos/ids/187710-500-500/00784-016-2805.jpg?v=637197169085370000,https://www.lupo.com.br/cueca-lupo-am-boxer-00784-016/p,12-04-2022
Cueca Lupo Boxer Microf.,"41,90",3% poliéster 4% elastano 93% poliamida 96% poliamida,1.96,Adulto,Cuecas,Boxer,"Uma cueca masculina boxer se diferencia das demais cuecas masculinas por causa do seu design arrojado e moderno que poucas peças de roupas possuem. Para todos que preferem modelos que não sejam produzidos em algodão, a Lupo também conta com aqueles feitos em microfibra. Cuecas de microfibra absorvem melhor o suor produzido pelo corpo durante atividades físicas, reduzindo qualquer tipo de desconforto que pode surgir nos dias mais quentes. Esse modelo da Lupo atende justamente essa proposta, sendo uma das melhores escolhas de roupas íntimas masculina para o verão brasileiro. Conheça também os modelos de cueca para criança e muito mais Cor: 2920 e 8770 Composição: Poliamida 96% Elastano 4% Demais cores: Poliamida 93% Elastano 4% Poliéster 3%",https://lupo.vteximg.com.br/arquivos/ids/180908-500-500/00436-002.jpg?v=636706347088070000,https://www.lupo.com.br/cueca-lupo-boxer-microf-00436-002/p,12-04-2022
Calcinha Loba Basica,"46,90",2% algodão 5% elastano 93% poliamida,1.0,Adulto,Lingerie,Calcinhas Básica,"Toda mulher precisa daquelas roupas íntimas básicas que dão conforto e leveza ao dia a dia. E a calcinha Loba é uma dessas peças essenciais Seja para ficar mais à vontade ou para não marcar a roupa por baixo do look, essa calcinha sem costura conta com uma tecnologia moderna que permite a diminuição dos pontos de fricção, além de oferecer pontos de ventilação e tratamento contra fungos e bactérias. Características: Seamless: sem costura desenvolvida com a mais moderna tecnologia livre de costuras, diminui os pontos de fricção. Possui ainda ventilação estratégica, colocada em zonas críticas de suor. Antimicrobial tratamento de higienização que impede a proliferação de microrganismos e bactérias causadores de odores. Forro de algodão. Composição: Poliamida 93%, Elastano 5%, Algodão 2%",https://lupo.vteximg.com.br/arquivos/ids/185154-500-500/40300-001-2014.jpg?v=636892094454330000,https://www.lupo.com.br/calcinha-loba-basica-sem-costura/p,12-04-2022
Sutia Loba Top Basico,"51,90",6% elastano 94% poliamida,1.0,Adulto,Lingerie,Sutiã Top,"Composição: 94% Poliamida, 6% Elastano",https://lupo.vteximg.com.br/arquivos/ids/187392-500-500/41300-001-1110.jpg?v=637015529210430000,https://www.lupo.com.br/sutia-loba-top-basico-41300-001/p,12-04-2022
Calcinha Loba Classica -  Cotton,"38,90",8% elastano 92% algodao,1.0,Adulto,Lingerie,Calcinhas Básica,"Composição: 8% Elastano , 92% Algodao",https://lupo.vteximg.com.br/arquivos/ids/175513-500-500/97455XX.jpg?v=636459300441430000,https://www.lupo.com.br/calcinha-loba-clas-cotton-40351-001/p,12-04-2022
Meia Lupo - Walk,"16,90",19% poliamida 2% outra 79% algodão,1.0,Adulto,Meias,Esportivas,"Composição: 2% Outra Fibra, 19% Poliamida, 79% Algodão",https://lupo.vteximg.com.br/arquivos/ids/170535-500-500/03225-028-1140.jpg?v=636325257419800000,https://www.lupo.com.br/meia-lupo-au-walk-03225-028/p,12-04-2022
Blusa 2 A Pele Loba - Gola Alta,"33,90",,0.0,Adulto,Blusas,Segunda Pele,Informações: Gola Alta Composição: 85% Poliamida,https://lupo.vteximg.com.br/arquivos/ids/181795-500-500/00840-001.jpg?v=636729504015970000,https://www.lupo.com.br/blusa-2-a-pele-loba-af-gola-al-00840-001/p,12-04-2022
Cueca Lupo Slip - Micromodal Sem Costura,"48,90",,0.0,Adulto,Cuecas,Slip,"A cueca Lupo Micromodal se destaca pela sua modelagem e conforto. Seu design é mais discreto e feito com tecido micromodal, que deixa a peça ainda mais leve. Com tecnologia moderna e sem costura, a cueca da Lupo é fácil de lavar e secar e não amassa com facilidade.",https://lupo.vteximg.com.br/arquivos/ids/166369-500-500/00681-001-1110.jpg?v=636325158020600000,https://www.lupo.com.br/cueca-lupo-am-slip-s-cost-00681-001/p,12-04-2022
