name,price,composition,gender,age,category,subcategory,description,img_url,url,scrapped-at
Short mormaii futevôlei feminino gamboa,"R$ 139,80",10% elastano 90% poliéster,Feminino,Adulto,Short,Short-tecido,"Short liso, com elástico na cintura e tecido com elastano, permitindo amplitude de movimentos. feito em tecido leve de secagem rápida, ideal para a prática esportiva",https://mormaiishop.vteximg.com.br/arquivos/ids/2499797-450-450/31312421_CINZA_1.jpg?v=637618262437430000,https://www.mormaiishop.com.br/short-mormaii-futevolei-feminino-gamboa-31312421/p,12-04-2022
Camiseta baby look feminina hawai mormaii,"R$ 96,31",100% algodão,Feminino,Adulto,Camiseta,Camiseta-manga-curta,"Camiseta em malha 100 % algodão. a camiseta é pré-encolhida e levemente perfumada, alcançando assim um toque suave e oferecendo um maior conforto e caimento a quem veste e pode ser usado com bermudas, saias e calças. super versátil, combina em qualquer ocasião.",https://mormaiishop.vteximg.com.br/arquivos/ids/2483337-450-450/6322_AMARELO_1.jpg?v=637566459826700000,https://www.mormaiishop.com.br/camiseta-baby-look-feminina-hawai-mormaii-6322/p,12-04-2022
Short feminino jeans the light mormaii,"R$ 269,99",,Feminino,Adulto,Short,Short-jeans,"Short feminino mormaii, confeccionado em tecido jeans, possui fechamento por botão e zíper no entremeio, cós com passantes, bolsos frontais e traseiros e costura na cor da peça, versátil e moderna, a peça é perfeita para compor looks para diversas ocasiões, aposte!",https://mormaiishop.vteximg.com.br/arquivos/ids/2418821-450-450/8360012_AMARELO_1.jpg?v=637426668438330000,https://www.mormaiishop.com.br/short-feminino-jeans-the-light-mormaii-8360012/p,12-04-2022
Vestido feminino inspiration dress mormaii,"R$ 158,87",100% algodão,Feminino,Adulto,Vestido,Vestido-midi,"Vestido feminino confeccionada com malha premium com acabamento de lavanderia, o modelo é pré-encolhido e levemente perfumado, alcançando assim um toque suave e oferecendo um maior conforto para quem veste.",https://mormaiishop.vteximg.com.br/arquivos/ids/2491669-450-450/06718_VERDE_1.jpg?v=637588013934170000,https://www.mormaiishop.com.br/vestido-feminino-inspiration-dress-mormaii-06718/p,12-04-2022
Short feminino tecido bolso aparente mormaii,"R$ 79,82",Composição: algodão,Feminino,Adulto,Short,Short-tecido,"Shorts tecido com bolso aparente mormaii, modelagem com caimento leve, proporcionando conforto e sofisticação para seu look .",https://mormaiishop.vteximg.com.br/arquivos/ids/2498580-450-450/LAN140_VERDE-CLARO_1.jpg?v=637612205216970000,https://www.mormaiishop.com.br/short-feminino-tecido-bolso-aparente-mormaii-lan140/p,12-04-2022
Blusão canguru moletom masculino com capuz edition mountain mormaii,"R$ 399,90",100% algodão,Masculino,Adulto,Casaco,Casaco-moletom,"Moletom masculino confeccionada com malha premium com acabamento de lavanderia, é pré-encolhido e levemente perfumado, alcançando assim um toque suave e oferecendo um maior conforto para quem veste. moletom super quentinho para enfrentar dias mais frescos, abuse nas composições com calças esportivas como moletons, look ideal para um passeio com a família, ou se sentir à vontade nas comodidades de sua casa.",https://mormaiishop.vteximg.com.br/arquivos/ids/2743718-450-450/07281_VERDE_1.jpg?v=637752614097100000,https://www.mormaiishop.com.br/blusao-canguru-moletom-masculino-com-capuz-edition-mountain-mormaii-07281/p,12-04-2022
Vestido longo feminino outdoor edition dress sunset mormaii,"R$ 339,90",100% algodão,Feminino,Adulto,Vestido,Vestido-longo,"Vestido feminino confeccionada com malha premium com acabamento de lavanderia, o modelo é pré-encolhido e levemente perfumado, alcançando assim um toque suave e oferecendo um maior conforto para quem veste.",https://mormaiishop.vteximg.com.br/arquivos/ids/2744553-450-450/07335_AZUL_1.jpg?v=637756269942800000,https://www.mormaiishop.com.br/vestido-longo-feminino-outdoor-edition-dress-sunset-mormaii-07335/p,12-04-2022
Calça moletom masculina collab league marcos gabriel pro pant mormaii,"R$ 389,90",100% algodão,Masculino,Adulto,Calca,Calca-moletom,"Calça de moletom em algodão premium, possui qualidade e acabamento em lavanderia. modelo com bolso faca, estilosa e confortável, se adequa com qualquer ocasião.",https://mormaiishop.vteximg.com.br/arquivos/ids/2744063-450-450/07294_AZUL_1.jpg?v=637756080725870000,https://www.mormaiishop.com.br/calca-moletom-masculina-collab-league-marcos-gabriel-pro-pant-mormaii-07294/p,12-04-2022
Long john com flutuadores safety suit 3.2mm manga longa,"R$ 4.842,95",100% policloropreno 14% elastano 86% poliamida,Masculino,Adulto,Surf,,"Long john safety suit 3.2mm manga longa possui flutuadores float foam, o melhor do mercado, estrategicamente posicionados para proporcionar a máxima performance, conforto e seguranca. desenvolvido em parceria com lucas chumbo, expoente da nova geração do surf de ondas gigantes, testado e aprovado nas condições extremas de nazaré, mavericks e jaws. além de proporcionar flutuabilidade, o long john safety suit mormaii também protege contra impactos da prancha, lip, pedras, corais, jet ski ou o que for, devido seu sistema de flutuadores estrategicamente posicionados. ou seja, além de uma roupa que te ajudará a chegar mais rápido a superfície, também permitirá maior segurança contra pancadas indesejadas. com um exclusivo sistema de alças de resgate, posicionadas sobre os ombros, permite que o surfista seja mais facilmente carregado para um local seguro caso fique inconsciente dentro d'água. desenvolvido com borracha techfoam, techprene mormaii tecnológico, ultra flexível, leve, resistente e com menor absorção de água. a mais alta tecnologia desenvolvida em parceria com os big riders da equipe mormaii, agora disponível para você.",https://mormaiishop.vteximg.com.br/arquivos/ids/2529858-450-450/SU001M32SFS1A_PRETO-VERDE_1.jpg?v=637663192591370000,https://www.mormaiishop.com.br/long-john-com-flutuadores-safety-suit-32mm-manga-longa-su001m32sfs1a/p,12-04-2022
Mochila camuflada esportiva 40 litros mormaii,"R$ 274,00","Compartimentos organizadores, zípers , costuras e acabamentos reforçados, costas acolchoadas tecido altamente resistente, alça manual, alças traseiras acolchoadas e ajustaveis. Material poliéster.",Unissex,Adulto,Esportiva,Mochila-sem-rodas,"Mochila de costas camuflada esportiva 40 litros mormaii; dimensões 48 x 33 x 18cm; possui diversos compartimentos e organizadores que ajudam no armazenamento de objetos e acessórios zípers , costuras e acabamentos reforçados, costas acolchoadas tecido altamente resistente.",https://mormaiishop.vteximg.com.br/arquivos/ids/2748145-450-450/MOR0012_CINZA_1.jpg?v=637776098450200000,https://www.mormaiishop.com.br/mochila-camuflada-esportiva-40-litros-mormaii-mor0012/p,12-04-2022
Chaveiro bola de beach tennis mormaii,"R$ 20,00",Chaveiro em borracha e feltro,Unissex,Adulto,,Chaveiro-borracha,Chaveiro bola,https://mormaiishop.vteximg.com.br/arquivos/ids/2443466-450-450/31312398_AMARELO_1.jpg?v=637461024622200000,https://www.mormaiishop.com.br/chaveiro-bola-de-beach-tennis-mormaii-31312398/p,12-04-2022
Óculos de sol mormaii athlon 4 rosa,"R$ 349,00",Armação peso: 25 g frente: 140mm haste: 138mm cor: preto Lente tipo: revo altura: 42mm largura: 139mm base: 7,Feminino,Adulto,Oculos-de-sol,,"Para as pessoas pessoas que praticam corrida ou ciclismo, a mormaii óculos, criou a linha athlon, desenvolvida especialmente para os esportistas do dia a dia.",https://mormaiishop.vteximg.com.br/arquivos/ids/2451603-450-450/M0042AAF94_MULTCOLOR_1.jpg?v=637499899730530000,https://www.mormaiishop.com.br/oculos-de-sol-athlon-4-lente-rosa-m0042aaf94/p,12-04-2022
Relógio digital vintage mormaii - mojh02aipk7j,"R$ 315,00",Relógio-digital-5 atm,Unissex,Adulto,,Relogio-polimero,"Relógio digital mormaii, mojh02aip/k7j - rosé, caixa de polímero, tamanho 37 - linha vintage",https://mormaiishop.vteximg.com.br/arquivos/ids/2738485-450-450/MOJH02AIPK7J_ROSE_1.jpg?v=637713169008200000,https://www.mormaiishop.com.br/relogio-digital-vintage-mormaii---mojh02aipk7j-mojh02aipk7j/p,12-04-2022
Suporte panturrilha sport neo mormaii - g,"R$ 40,94",30% poliamida 70% policloropreno,Unissex,Adulto,,Suporte,O suporte panturrilha mormaii foi desenvolvido com intuito de proporcionar maior proteção prevenindo lesões decorrentes à prática esportiva. auxilia no tratamento de contusões musculares e articulares através de suas ações de pressão e calor.,https://mormaiishop.vteximg.com.br/arquivos/ids/2488931-450-450/3121MD_PRETO-AZUL_1.jpg?v=637581979912770000,https://www.mormaiishop.com.br/suporte-panturrilha-sport-neo-mormaii---g-3121md/p,12-04-2022
Chinelo mormaii backflip dedo adulto,"R$ 69,99","Pvc, eva, tiras largas, sola macia",Masculino,Adulto,Chinelo,Dedo,"Mormaii backflip entrega todo o conforto que você precisa para curtir a vibe praiana! ideal para relaxar seus pés após várias ondas. o produto possui uma sola robusta e tiras largas, se adaptando perfeitamente ao seu pé. o detalhe de cor em eva na parte interna das tiras garante um conforto extra além de muito estilo.",https://mormaiishop.vteximg.com.br/arquivos/ids/2518062-450-450/11763_CINZA-PRETO_2.jpg?v=637650222240130000,https://www.mormaiishop.com.br/chinelo-mormaii-backflip-dedo-adulto-11763/p,12-04-2022
Jaqueta manga longa 1mm masculino flexxxa pro uvsuit 5a surf mormaii,"R$ 897,89",14% elastano 86% poliamida,Masculino,Adulto,Surf,,"Jaqueta manga longa 1mm masculino flexxxa pro uv suit mormaii desenvolvido e refinado baseado em informações e testes de usabilidade em atletas, em situações exigentes nos diferentes cenários, empregamos tecnologias inovadoras focados em proporcionar maior conforto durante a prática esportiva. equilíbrio perfeito entre conforto e desempenho. desenvolvido com borracha techfoam, ultra flexível, leve, resistente e com menor absorção de água. revestido com tecido de alta tecnologia em absorção de raios ultravioleta, atuando como uma segunda pele com conforto e proteção.",https://mormaiishop.vteximg.com.br/arquivos/ids/2481137-450-450/SU030M10FPR5A_CINZA-PRETO_1.jpg?v=637560371998570000,https://www.mormaiishop.com.br/jaqueta-manga-longa-1mm-masculino-flexxxa-pro-uvsuit-5a-surf-mormaii-su030m10fpr5a/p,12-04-2022
Óculos de sol mormaii gamboa air 3 azul brilho,"R$ 349,00",,Masculino,Adulto,,,"Ainda na vibe do grande modelo e campeão de vendas gamboa air, seu novo sucessor traz todo o espirito esportivo do anterior evidenciado nas linhas fluidas e dinâmicas, porém com um grande diferencial: maior conforto adaptado a ergonomia do usuário com cores mais atuais apoiadas pelo apelo dos logos em neon.",https://mormaiishop.vteximg.com.br/arquivos/ids/2492134-450-450/0044103312_MULTCOLOR_1.jpg?v=637588905229500000,https://www.mormaiishop.com.br/oculos-de-sol-mormaii-gamboa-air-3-azul-brilho-0044103312/p,12-04-2022
