name,price,category,subcategory,composition,color,gender,description,img_url,url,scrapped-at
,,Calçados,Tênis e botas,100% BORRACHA,VERMELHO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/363379-292-292/V19MSAB04_609_1-CHINELO-ESTAMPA-BANDEIRA-INGLATERRA.jpg?v=637273319712770000,https://www.tng.com.br/chinelo-estampa-bandeira-inglaterra-vermelho-v19msab04-609/p,12-04-2022
Camisa Mc Full Print Tropical,"R$ 99,99",Camisas,Camisa Casual,50% ALGODÃO 50% POLIESTER RECICLADO,VERDE MILITAR,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/389085-639-876/I20MLH03_850_1-CAMISA-MC-FULL-PRINT-TROPICAL.jpg?v=637401833128470000,https://www.tng.com.br/camisa-mc-full-print-tropical-verde-militar-i20mlh03-850/p,12-04-2022
Jaqueta Tricô Listras,"R$ 139,99",Black Friday,Masculino,100% POLIESTER,AZUL,Masculino,"Em uma combinações de cores básicas e harmoniosas, a Jaqueta Tricô Listras tem um estilo elegante e casual. Confeccionada em tricô, possui mangas longas, gola alta, fechamento por zíper e listras largas horizontais em preto, tons de cinza e branco. É a terceira peça perfeita para incluir em um visual básico.",https://storetng.vteximg.com.br/arquivos/ids/358149-639-876/I19MRG06_750_1-JAQUETA-TRICO-LISTRAS.jpg?v=637244886009400000,https://www.tng.com.br/jaqueta-trico-listras-azul-i19mrg06-750/p,12-04-2022
,,Camisas,Camisa Social,100% ALGODAO,AZUL,Masculino,"Camisa masculina confeccionada em algodão. Possui fechamento por botões no entremeio, manga longa com botões nos punhos, acabamento e costura no tom.",https://storetng.vteximg.com.br/arquivos/ids/298873-292-292/V17MMB40_712_1-CAMISA-MASCULINA-SOCIAL.jpg?v=637166366228900000,https://www.tng.com.br/camisa-masculina-social-azul-v17mmb40-712/p,12-04-2022
Camisa Manga Longa,"R$ 79,99",Black Friday,Masculino,80% ACRILICO 20% POLIESTER,BRANCO,Masculino,Camisa manga longa casual com modelagem comfort. Composição mista.,https://storetng.vteximg.com.br/arquivos/ids/376182-639-876/V19MLB05_350_1-CAMISA-MANGA-LONGA.jpg?v=637334440546170000,https://www.tng.com.br/camisa-manga-longa-branco-v19mlb05-350/p,12-04-2022
Calça Sarja Color Skinny,"R$ 79,99",Calças,Calças de Sarja,98% ALGODAO 2% ELASTANO,VERDE,Masculino,"A Calça sarja é confeccionada em algodão e elastano, possui modelagem skinny, bolsos frontais e traseiros, passante deCintono cós e fechamento frontal por botão de casa e zíper.",https://storetng.vteximg.com.br/arquivos/ids/387576-639-876/BNMCCD87_850_1-CALCA-SARJA-COLOR-SKINNY.jpg?v=637401798106000000,https://www.tng.com.br/calca-sarja-color-skinny-verde-bnmccd87-850/p,12-04-2022
Camiseta Full Print Listras C/ Folhagem,"R$ 89,99",Camisetas,Camiseta Estampada,100% ALGODAO,ROSA CLARO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/424029-639-876/V21MMDF37_643_1-CAMISETA-FULL-PRINT-LISTRAS-C--FOLHAGEM.jpg?v=637762152152430000,https://www.tng.com.br/camiseta-full-print-listras-c-folhagem-rosa-claro-v21mmdf37-643/p,12-04-2022
Calça Sarja Chino Basica Skinny,"R$ 199,99",Calças,Calças de Sarja,98% ALGODAO 2% ELASTANO,AZUL MARINHO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/421735-639-876/BNMCCH02_750_1-CALCA-SARJA-CHINO-BASICA-SKINNY.jpg?v=637753668031470000,https://www.tng.com.br/calca-sarja-chino-basica-skinny-azul-marinho-bnmcch02-750/p,12-04-2022
Camisa Maquinetada,"R$ 159,99",Camisas,Camisa Casual,60% ALGODAO 40% POLIESTER,CINZA,Masculino,Camisa manga longa maquineta e fecho frontal de botões. Composição mista.,https://storetng.vteximg.com.br/arquivos/ids/412015-639-876/V21MOSD04_920_1-CAMISA-MAQUINETADA.jpg?v=637698162096430000,https://www.tng.com.br/camisa-maquinetada-cinza-v21mosd04-920/p,12-04-2022
Camiseta Manga Longa Abstrato Com Frase,"R$ 119,99",Camisetas,Camiseta Estampada,100% ALGODAO,PT-PRETO,Masculino,"Camiseta Manga Longa Abstrato Com Frase é composta por 100% algodão, produto versatil e cheio de estilo.",https://storetng.vteximg.com.br/arquivos/ids/420164-639-876/V21MMDF31_950_1-CAMISETA-SILK-ABSTRATO-C-FRASE.jpg?v=637745688109500000,https://www.tng.com.br/camiseta-manga-longa-abstrato-com-frase-pt-preto-v21mmdf31-950/p,12-04-2022
Polo Manga Curta Em Malha,"R$ 79,99",Estampada,Estampada,100% ALGODAO,MESCLA CLARO,Masculino,"Polo manga curta composta por 100% algodão, com detalhe em listras na manga, e na gola. A peça é multicolores, produto estiloso e versátil que não pode faltar no seu guarda roupas.",https://storetng.vteximg.com.br/arquivos/ids/428921-639-876/BNMPPB01_905_1-POLO-MANGA-CURTA-EM-MALHA.jpg?v=637837314252400000,https://www.tng.com.br/polo-manga-curta-em-malha-mescla-claro-bnmppb01-905/p,12-04-2022
