name,price,material,composition,gender,category,is_kit,qt_pieces,description,img_url,url,scrapped-at
Colete Tricae Infantil Capuz Preto,44.99,Algodão,100% Algodão,menino,casacos,False,1,Detalhes do produto Colete Tricae Infantil Capuz Preto Gola: Com Capuz Fecho: Zíper Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz com recorte em 88% Algodão e 12% Poliéster SKU TR050APM86OQJ Modelo Tricae TRIM0058 Material Algodão Composição 100% Algodão Modelagem Reta Cor Preto Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Capuz-Preto-9394-3112647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Capuz-Preto-7462113.html,12-04-2022
Blusa de Moletom Tricae Infantil Cachorrinho Bege/Caramelo,59.90,Poliéster,100% Poliéster,menina,casacos,False,1,Detalhes do produto Blusa de Moletom Tricae Infantil Cachorrinho Bege/Caramelo Gola: Com Capuz Manga: Longa Tecido: Moletom Não Flanelado Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM40QBV Modelo Tricae TRIM0180 Material Poliéster Composição 100% Poliéster Modelagem Reta Cor Bege Ocasião de uso Casual Estampa Bichos País de origem Brasil Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Blusa-de-Moletom-Tricae-Infantil-Cachorrinho-Bege%2FCaramelo-9401-95168401-1-zoom.jpg,https://www.tricae.com.br/Blusa-de-Moletom-Tricae-Infantil-Cachorrinho-Bege%2FCaramelo-10486159.html,12-04-2022
Colete Tricae Infantil Matelassê Vinho,44.99,Poliéster,77% Poliéster/ 20% Algodão/ 3% Elastano,menina,casacos,False,1,Detalhes do produto Colete Tricae Infantil Matelassê Vinho Gola: Com Capuz Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz e acabamento matelassê SKU TR050APM60ONN Modelo Tricae TRIM0063 Material Poliéster Composição 77% Poliéster/ 20% Algodão/ 3% Elastano Modelagem Reta Cor Vinho Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Matelass%C3%AA-Vinho-1429-9302647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Matelasse-Vinho-7462039.html,12-04-2022
Colete Tricae Infantil Capuz Preto,35.99,Algodão,100% Algodão,menina,casacos,False,1,Detalhes do produto Colete Tricae Infantil Capuz Preto Gola: Com Capuz Fecho: Zíper Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz e estrutura em moletom flanelado SKU TR050APM74OMZ Modelo Tricae TRIM0062 Material Algodão Composição 100% Algodão Modelagem Reta Cor Preto Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Capuz-Preto-0041-5202647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Capuz-Preto-7462025.html,12-04-2022
Colete Tricae Infantil Matelassê Rosa,44.99,Poliéster,77% Poliéster/ 20% Algodão/ 3% Elastano,menina,casacos,False,1,Detalhes do produto Colete Tricae Infantil Matelassê Rosa Gola: Com Capuz Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz e acabamento matelassê SKU TR050APM66IONH Modelo Tricae TRIM0063 Material Poliéster Composição 77% Poliéster/ 20% Algodão/ 3% Elastano Modelagem Reta Cor Rosa Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Matelass%C3%AA-Rosa-0591-3302647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Matelasse-Rosa-7462033.html,12-04-2022
Blusa de Moletom Tricae Infantil Cachorrinho Bege/Amarela,59.90,Poliéster,100% Poliéster,menino,casacos,False,1,Detalhes do produto Blusa de Moletom Tricae Infantil Cachorrinho Bege/Amarela Gola: Com Capuz Manga: Longa Tecido: Moletom Não Flanelado Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM48QBN Modelo Tricae TRIM0179 Material Poliéster Composição 100% Poliéster Modelagem Reta Cor Bege Ocasião de uso Casual Estampa Bichos País de origem Brasil Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Blusa-de-Moletom-Tricae-Infantil-Cachorrinho-Bege%2FAmarela-9815-15168401-1-zoom.jpg,https://www.tricae.com.br/Blusa-de-Moletom-Tricae-Infantil-Cachorrinho-Bege%2FAmarela-10486151.html,12-04-2022
Blusa de Moletom Tricae Infantil Cachorrinho Lilás/Bege,59.90,Poliéster,100% Poliéster,menina,casacos,False,1,Detalhes do produto Blusa de Moletom Tricae Infantil Cachorrinho Lilás/Bege Gola: Com Capuz Manga: Longa Tecido: Moletom Não Flanelado Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM42QBT Modelo Tricae TRIM0180 Material Poliéster Composição 100% Poliéster Modelagem Reta Cor Lilás Ocasião de uso Casual Estampa Bichos País de origem Brasil Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Blusa-de-Moletom-Tricae-Infantil-Cachorrinho-Lil%C3%A1s%2FBege-9393-75168401-1-zoom.jpg,https://www.tricae.com.br/Blusa-de-Moletom-Tricae-Infantil-Cachorrinho-Lilas%2FBege-10486157.html,12-04-2022
Colete Tricae Infantil Matelassê Preto,59.99,Poliéster,77% Poliéster/ 20% Algodão/ 3% Elastano,menino,casacos,False,1,Detalhes do produto Colete Tricae Infantil Matelassê Preto Gola: Com Capuz Fecho: Zíper Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz e acabamento matelassê SKU TR050APM34OSJ Modelo Tricae TRIM0059 Material Poliéster Composição 77% Poliéster/ 20% Algodão/ 3% Elastano Modelagem Reta Cor Preto Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Matelass%C3%AA-Preto-0614-5612647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Matelasse-Preto-7462165.html,12-04-2022
Colete Tricae Infantil Matelassê Bege,49.99,Poliéster,77% Poliéster/ 20% Algodão/ 3% Elastano,menino,casacos,False,1,Detalhes do produto Colete Tricae Infantil Matelassê Bege Gola: Com Capuz Fecho: Zíper Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz e acabamento matelassê SKU TR050APM84OQL Modelo Tricae TRIM0059 Material Poliéster Composição 77% Poliéster/ 20% Algodão/ 3% Elastano Modelagem Reta Cor Bege Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Matelass%C3%AA-Bege-0623-5112647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Matelasse-Bege-7462115.html,12-04-2022
Colete Tricae Infantil Capuz Rosa,44.99,Algodão,100% Algodão,menina,casacos,False,1,Detalhes do produto Colete Tricae Infantil Capuz Rosa Gola: Com Capuz Fecho: Zíper Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz e estrutura em moletom flanelado SKU TR050APM82OMR Modelo Tricae TRIM0062 Material Algodão Composição 100% Algodão Modelagem Reta Cor Rosa Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Capuz-Rosa-0294-7102647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Capuz-Rosa-7462017.html,12-04-2022
Blusa de Moletom Tricae Infantil Cachorrinho Azul-Marinho/Amarelo,59.90,Poliéster,100% Poliéster,menino,casacos,False,1,Detalhes do produto Blusa de Moletom Tricae Infantil Cachorrinho Azul-Marinho/Amarelo Gola: Com Capuz Manga: Longa Tecido: Moletom Não Flanelado Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM44QBR Modelo Tricae TRIM0179 Material Poliéster Composição 100% Poliéster Modelagem Reta Cor Azul Marinho Ocasião de uso Casual Estampa Bichos País de origem Brasil Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Blusa-de-Moletom-Tricae-Infantil-Cachorrinho-Azul-Marinho%2FAmarelo-0102-55168401-1-zoom.jpg,https://www.tricae.com.br/Blusa-de-Moletom-Tricae-Infantil-Cachorrinho-Azul-Marinho%2FAmarelo-10486155.html,12-04-2022
Colete Tricae Infantil Capuz Azul/Azul-Marinho,44.99,Algodão,100% Algodão,menino,casacos,False,1,Detalhes do produto Colete Tricae Infantil Capuz Azul/Azul-Marinho Gola: Com Capuz Fecho: Zíper Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz. SKU TR050APM88OQH Modelo Tricae TRIM0058 Material Algodão Composição 100% Algodão Modelagem Reta Cor Azul Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Capuz-Azul%2FAzul-Marinho-8242-1112647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Capuz-Azul%2FAzul-Marinho-7462111.html,12-04-2022
Kit 3pçs Tricae Infantil Joaninha Rosa,59.99,Algodão,Kit: 100% Algodão,menina,bodies-e-culotes,True,3,"Detalhes do produto Kit 3pçs Tricae Infantil Joaninha Rosa Gola: Redonda Manga: Curta Fecho: Botão Tecido: Malha Características: Kit composto por três peças, sendo dois bodies e uma calça. Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM18XHP Modelo Tricae DAT751 Material Algodão Composição Kit: 100% Algodão Modelagem Reta Cor Rosa Ocasião de uso Casual Estampa Bichos Kit 3 Peças País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve",https://static.dafiti.com.br/p/Tricae-Kit-3p%C3%A7s-Tricae-Infantil-Joaninha-Rosa-1282-1846349-1-zoom.jpg,https://www.tricae.com.br/Kit-3pcs-Tricae-Infantil-Joaninha-Rosa-9436481.html,12-04-2022
Kit 2pçs Salopete Jeans Tricae Infantil Bicolor Azul-Marinho/Off-White,49.99,Algodão,Body: 100% Algodão/ Vestido: 74% Algodão/ 20% Poliéster/ 6% Elastano,menina,macacoes,True,2,Detalhes do produto Kit 2pçs Salopete Jeans Tricae Infantil Bicolor Azul-Marinho/Off-White Tipo de Produto: Salopete Body Gola: Redonda Manga: Curta Fecho: Botão Tecido: Jeans Características: O body de malha vem acompanhando Salopete. Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. SKU TR050APM52VXR Modelo Tricae DAT715 Material Algodão Composição Body: 100% Algodão/ Vestido: 74% Algodão/ 20% Poliéster/ 6% Elastano Modelagem Reta Cor Azul Marinho Ocasião de uso Casual Kit 2 Peças País de origem Brasil Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Kit-2p%C3%A7s-Salopete-Jeans-Tricae-Infantil-Bicolor-Azul-Marinho%2FOff-White-2982-7455349-1-zoom.jpg,https://www.tricae.com.br/Kit-2pcs-Salopete-Jeans-Tricae-Infantil-Bicolor-Azul-Marinho%2FOff-White-9435547.html,12-04-2022
Colete Tricae Infantil Capuz Azul-Marinho,49.99,Algodão,100% Algodão,menino,casacos,False,1,Detalhes do produto Colete Tricae Infantil Capuz Azul-Marinho Gola: Com Capuz Fecho: Zíper Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui capuz. SKU TR050APM56IONR Modelo Tricae TRIM0058 Material Algodão Composição 100% Algodão Modelagem Reta Cor Azul Marinho Ocasião de uso Casual País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Colete-Tricae-Infantil-Capuz-Azul-Marinho-6981-3402647-1-zoom.jpg,https://www.tricae.com.br/Colete-Tricae-Infantil-Capuz-Azul-Marinho-7462043.html,12-04-2022
Conjunto 2pçs Tricae Longo Infantil Astronauta Branco/Azul,59.99,Algodão,Blusa: 100% Algodão/ Calça: 100% Algodão,menino,conjuntos,True,2,Detalhes do produto Conjunto 2pçs Tricae Longo Infantil Astronauta Branco/Azul Gola: Redonda Manga: Longa Sobre a marca: Produto confortável com o melhor custo benefício para o dia a dia. Características: Possui estampa frontal e cós elástico SKU TR050APM78XNH Modelo Tricae TRNAS00014 Material Algodão Composição Blusa: 100% Algodão/ Calça: 100% Algodão Modelagem Reta Cor Branco Ocasião de uso Casual Kit 2 Peças País de origem Brasil Moda Sustentável Eco Produção Eco Produção Fabricado utilizando-se energia renovável Registro do produto Isento Observações importantes Riscos a Saúde: Nenhum Tipo de frete: Leve,https://static.dafiti.com.br/p/Tricae-Conjunto-2p%C3%A7s-Tricae-Longo-Infantil-Astronauta-Branco%2FAzul-0542-1287797-1-zoom.jpg,https://www.tricae.com.br/Conjunto-2pcs-Tricae-Longo-Infantil-Astronauta-Branco%2FAzul-7977821.html,12-04-2022
